სახელი,ალკოჰოლის შემცველობა,წარმოშობა,სახეობა,ფასი(₾)
Jack Daniel's 1L,40%,ამერიკა,კუპაჟირებული ვისკი,"114,90"
Ballantine's Finest 1L,40%,შოტლანდია,კუპაჟირებული ვისკი,"52,90"
Ballantine's Finest 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"54,90"
Balvenie Doublewood 0.7L 12 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"199,90"
Jack Daniel's 0.7L,40%,ამერიკა,კუპაჟირებული ვისკი,"86,50"
Balvenie Portwood 0.7L,40%,შოტლანდია,ერთალაოიანი ვისკი,"1,025,00"
Chivas Regal 1L 12 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"162,90"
"Bulleit Rye 0,7 L 45 % - ვისკი ბულეტი რაი",0%,ამერიკა,კუპაჟირებული ვისკი,"117,50"
Glenmorangie Original GB 0.7L,40%,შოტლანდია,ერთალაოიანი ვისკი,"149,90"
J & B Rare 1L,40%,შოტლანდია,კუპაჟირებული ვისკი,"69,90"
Chivas Regal GB 0.7L 12 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"117,50"
Talisker 0.7L 10 Years Old,"45,8%",შოტლანდია,ერთალაოიანი ვისკი,"185,90"
Glenfiddich 0.5L 12 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"114,90"
John Jameson 1L,40%,ირლანდია,კუპაჟირებული ვისკი,"79,90"
J & B Rare 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"52,50"
Jack Daniel's Woodford Reserve 0.7L,45%,ამერიკა,კუპაჟირებული ვისკი,"149,90"
Glenfiddich 0.7L 18 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"327,50"
Monkey Shoulder 0.7L,40%,შოტლანდია,ერთალაოიანი ვისკი,"104,90"
Glenfiddich 1L 12 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"199,90"
Tullamore Dew 0.5L,40%,ირლანდია,კუპაჟირებული ვისკი,"57,90"
Clan Macgregor 1L,40%,შოტლანდია,კუპაჟირებული ვისკი,"43,90"
Glenlivet Founder's Reserve 0.7L,40%,შოტლანდია,ერთალაოიანი ვისკი,"126,50"
Cardhu 0.7L 12 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"165,90"
John Jameson 0.7L,40%,ირლანდია,კუპაჟირებული ვისკი,"79,90"
Glenfiddich 1L 15 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"289,90"
Chivas Regal 0.5L 12 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"92,90"
Jack Daniel's Single Barrel 0.7L,47%,ამერიკა,კუპაჟირებული ვისკი,"210,00"
John Jameson 0.5L,0%,ირლანდია,კუპაჟირებული ვისკი,"59,90"
Johnnie Walker Black Label 1L,40%,შოტლანდია,კუპაჟირებული ვისკი,"159,90"
Old Smuggler 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"39,90"
Glenmorangie Quinta Ruban GB 0.7L,46%,შოტლანდია,ერთალაოიანი ვისკი,"229,90"
Singleton of Dufftown 0.7L 12 Years Old,40%,შოტლანდია,ერთალაოიანი ვისკი,"132,50"
Chivas Regal 0.7L 25 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"979,50"
Glenmorangie 0.7L,43%,შოტლანდია,ერთალაოიანი ვისკი,"219,90"
Jim Beam Double Oak 0.7L,43%,ამერიკა,ბურბონი,"113,60"
Bushmills 0.7L,40%,ირლანდია,კუპაჟირებული ვისკი,"67,50"
Ballantine's Finest 0.5L,40%,შოტლანდია,კუპაჟირებული ვისკი,"42,50"
Johnnie Walker Red Label 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"54,90"
Glenmorangie Original GB 1L,40%,შოტლანდია,ერთალაოიანი ვისკი,"199,90"
Chivas Regal 1L 18 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"359,90"
Chivas Regal 0.7L 18 Years Old,40%,შოტლანდია,კუპაჟირებული ვისკი,"269,90"
"Grant's Rum Cask 0,7 L 40 % - ვისკი გრანტსი რომ ქასქი",40%,შოტლანდია,კუპაჟირებული ვისკი,"54,00"
Cortoisie Single Malt 0.7L 40% - ვისკი კორტოიზი,40%,საფრანგეთი,ერთალაოიანი ვისკი,"187,90"
Johnnie Walker Black Label 0.5L,40%,შოტლანდია,კუპაჟირებული ვისკი,"93,50"
Tullamore Dew 0.7L,40%,ირლანდია,კუპაჟირებული ვისკი,"75,90"
Grant's 0.5L,40%,შოტლანდია,კუპაჟირებული ვისკი,"39,90"
Johnnie Walker Blue Label GB 0.75L,40%,შოტლანდია,კუპაჟირებული ვისკი,"920,00"
Jack Daniel's 0.5L,40%,ამერიკა,კუპაჟირებული ვისკი,"65,90"
Jim Beam White 0.7L,40%,ამერიკა,ბურბონი,"89,10"
Chivas Regal Extra GB 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"157,50"
Wild Turkey 101 PF 0.7L,"50,5%",ამერიკა,კუპაჟირებული ვისკი,"107,50"
Barclays Scotch 1L,40%,შოტლანდია,კუპაჟირებული ვისკი,"42,90"
Jim Beam White 1L,40%,ამერიკა,კუპაჟირებული ვისკი,"124,70"
Grant's Smoky 0.7L,40%,შოტლანდია,კუპაჟირებული ვისკი,"54,00"
